source,target
5064,380
5064,4690
5064,3096
5064,1214281
5064,1648152
5064,92911
5064,15189
5064,18514
5064,4955
5064,549605
5064,549604
5064,325
5064,70851
5064,134
5064,73931
5064,2232
5064,192
5064,10215
5064,230194
5064,230195
5064,190
5064,489
5064,2231
5064,1
5064,6159
380,1038
380,1036
380,1158
380,3087
380,3092
380,4512
380,4513
380,4430
380,4517
380,11477
380,4517
380,16178
380,11181
380,14639
380,4690
380,3096
380,1032
380,16514
380,1044
380,3661
380,1032
380,3084
380,1158
380,3087
380,7175
380,11850
380,61110
380,707
380,7447
380,73641
380,1202593
380,33684
380,76657
380,76655
380,76662
380,1032
380,6193
380,15189
380,18514
380,4955
380,32395
380,1227911
380,27769
380,138986
380,53397
380,7904
380,138986
380,7447
380,85564
380,1032
380,1006721
380,11483
380,73421
380,1545693
380,11478
380,6193
380,819
380,63
380,138
380,1364128
380,8297
4690,6193
4690,31
4690,8891
4690,2231
4690,139
4690,380
4690,3096
4690,61110
4690,707
4690,7447
4690,10468
4690,10400
4690,1884
4690,1190668
4690,505710
4690,933238
4690,5953
4690,1769
4690,10130
4690,56322
4690,61110
4690,7447
4690,32395
4690,1227911
4690,27769
4690,37934
4690,15310
4690,12207
4690,138
4690,1364128
4690,8297
4690,14104
3096,1158
3096,3087
3096,3092
3096,380
3096,4690
3096,3084
3096,1158
3096,3087
3096,3084
3096,1158
3096,3085
3096,1158
3096,3084
3096,3085
1214281,1648152
1214281,92911
1214281,12951
1214281,2998183
1214281,1231277
1648152,1214281
1648152,92911
92911,92912
92911,92913
92911,1214281
92911,1648152
92911,880
92911,237405
92911,17604
92911,418
92911,138986
92911,13611
92911,10750
92911,8261
92911,974169
92911,1098962
92911,1331457
15189,18514
15189,4955
15189,41779
15189,38898
15189,225921
15189,235564
15189,174982
15189,40092
15189,1708627
18514,15189
18514,4955
18514,39104
18514,1480608
18514,1223677
18514,1357
4955,14999
4955,100507
4955,15072
4955,15189
4955,18514
4955,1259
4955,1002674
4955,30657
4955,87680
4955,101130
4955,34546
4955,2183911
4955,5402
4955,5683
4955,4959
4955,113
4955,15175
4955,3027
4955,131120
4955,105685
4955,32055
4955,13333
549605,5064
549605,549604
549604,5064
549604,549605
325,84534
325,9315
325,323
325,339
325,1029110
325,8447
325,70851
325,134
325,62640
325,62644
325,154782
325,154783
325,174875
325,544016
325,1776464
325,4244
325,4238
325,1740159
325,1740160
325,1945289
325,1549410
325,214586
325,1135272
325,1233161
325,2041
325,37934
325,15310
325,12207
325,337
325,2689367
325,1135272
325,4980414
70851,1777399
70851,1470131
70851,3447977
70851,22297
70851,83768
70851,325
70851,134
70851,31
70851,1206
70851,22297
70851,533061
70851,229077
70851,584562
70851,1125891
70851,22297
70851,22297
70851,78837
70851,12052
70851,7395
70851,7396
70851,22297
70851,154697
70851,22297
70851,22297
70851,11863
70851,2219
134,21397
134,3981237
134,27319
134,6193
134,325
134,70851
134,154782
134,154783
134,174875
134,9309
134,57551
134,5726
134,8851
134,979952
134,32715
134,27011
134,8851
134,543105
134,56323
134,78577
134,1680799
134,97854
134,109764
134,1136406
134,505710
134,71580
73931,1418493
73931,167424
73931,137022
73931,4220075
73931,7318
73931,4483
73931,142439
73931,20627
73931,2113523
73931,2232
73931,192
73931,226001
73931,2915037
73931,2915036
73931,106926
73931,10437
73931,1200426
73931,2662677
73931,6352
73931,13301
73931,1487
73931,4786
73931,707
73931,326
2232,73931
2232,192
2232,22384
2232,105637
2232,5823
2232,1074129
192,190
192,448
192,3894
192,1810
192,6383
192,504
192,4029
192,287
192,12052
192,71727
192,10859
192,56323
192,103939
192,15375
192,107978
192,73030
192,1151233
192,8534
192,1121
192,3392
192,73931
192,2232
192,204962
192,504
192,167662
192,53397
192,2384929
10215,2585
10215,100183
10215,13745
10215,92561
10215,107613
10215,1014931
10215,10592
10215,10593
10215,10592
10215,10593
10215,3636
10215,109410
10215,4135
10215,11370
10215,133075
10215,2337629
10215,1149345
10215,80535
10215,47632
10215,47990
10215,112923
10215,112923
10215,1829413
10215,230192
10215,230193
10215,112923
10215,1810147
10215,137022
10215,4220075
10215,7318
10215,237405
10215,66776
10215,1795453
10215,61110
10215,707
10215,7447
10215,10592
10215,10593
10215,10592
10215,10593
10215,533061
10215,3284
10215,10592
10215,10593
10215,230193
10215,230195
10215,533061
10215,235996
10215,235995
10215,584182
10215,4461060
10215,9903
10215,112923
10215,10592
10215,10593
10215,1459
10215,982
10215,38225
10215,82702
10215,13301
10215,230192
10215,230193
10215,112923
10215,1810147
10215,10592
10215,10593
10215,10598
10215,4673143
10215,1071450
10215,1235040
10215,1442
10215,112923
10215,90392
10215,230194
10215,230195
10215,230192
10215,230193
10215,112923
10215,10214
10215,10593
10215,10594
10215,55466
10215,112923
10215,2214550
10215,707
10215,7171
10215,2411899
10215,10592
10215,10593
10215,108661
10215,214830
10215,1070445
10215,47990
10215,220875
10215,47991
10215,10592
10215,10593
10215,10593
10215,10592
10215,10594
10215,10593
10215,230195
10215,230193
10215,10592
10215,10594
10215,10592
10215,10593
10215,230193
10215,230194
230194,145755
230194,1082289
230194,1082290
230194,10215
230194,230192
230194,230193
230194,10215
230194,533061
230194,3284
230194,10215
230194,230193
230194,230195
230194,10215
230194,230192
230194,230193
230194,10215
230194,230195
230194,10215
230194,230192
230194,230193
230194,2585
230194,107209
230194,100198
230194,10215
230194,230195
230194,230193
230194,10215
230194,230193
230195,145755
230195,1082289
230195,1082290
230195,10215
230195,230192
230195,230193
230195,10215
230195,533061
230195,3284
230195,10215
230195,230193
230195,10215
230195,230192
230195,230193
230195,10215
230195,230194
230195,10215
230195,230192
230195,230193
230195,10215
230195,230193
230195,10215
230195,230193
230195,230194
190,448
190,192
190,4078
190,14276
190,74308
190,74309
190,71727
190,10859
190,56323
190,3265
190,4078
190,4724
190,1374360
190,20156
190,4347
190,4299
190,14701
190,6449
190,9979
190,9789
190,6449
190,1884692
190,2701107
190,19011
190,1666
190,2226
190,1776
190,854
190,2395
190,5064
190,489
190,4430
190,6449
190,516
190,14782
190,147
190,1259
190,1002674
190,30657
190,1
190,1776
190,7879
489,491
489,488
489,15344
489,5064
489,190
489,488
489,1828524
489,2367461
2231,8891
2231,139
2231,380
2231,11477
2231,4517
2231,449538
2231,87525
2231,7056
2231,4001066
2231,1197772
2231,3895
2231,287
2231,19119
2231,27319
2231,134
2231,27319
2231,6193
2231,10475
2231,155465
2231,1897
2231,18471
2231,77896
2231,313090
2231,3462925
2231,1406017
2231,8891
2231,8892
2231,1
2231,6159
2231,58184
2231,30485
2231,33655
2231,1117437
2231,58924
2231,4783
2231,4784
2231,4785
2231,1561264
2231,1370567
2231,2369878
2231,8875
2231,10489
2231,72658
2231,1981
2231,95621
2231,3223
2231,16828
2231,74568
2231,4430
2231,6449
2231,516
2231,35705
2231,143242
2231,233191
2231,3223
2231,16828
2231,103
2231,32395
2231,1691128
2231,1010896
2231,139
2231,140
2231,2535
2231,1219050
2231,14414
2231,65605
2231,8349
2231,11367
2231,31028
2231,1117313
2231,1853909
2231,138
2231,1364128
2231,8297
2231,2885783
2231,61010
1,15189
1,18514
1,4955
1,1776
1,7879
1,1113173
1,2021317
1,4600
1,9979
1,9789
1,6449
1,1021364
1,553222
1,1032
1,380
1,6193
1,130
1,33185
1,670
1,491
1,488
1,15344
1,71538
1,3993
1,1032
1,1006721
1,11483
1,11770
1,515
1,349
1,4
1,3799
1,130
1,2231
1,6159
1,553222
1,24343
1,2
1,4
1,5026
1,132305
1,18598
1,3
1,4908582
1,8256
1,2885783
1,2231
1,61010
6159,13268
6159,70985
6159,6838
6159,73022
6159,4141507
6159,41750
6159,1113173
6159,2021317
