id, name, total_movies
5064,Meryl Streep,10
1214281,Marcus Allen,2
1648152,Peter Max,1
92911,Garth Brooks,12
15189,Michelangelo Antonioni,4
18514,Asia Argento,3
4955,Dario Argento,10
549605,Tom Harkin,1
549604,Evyenia Constantine,1
325,Eminem,20
70851,Jack Black,15
134,Jamie Foxx,10
73931,Bette Midler,11
2232,Michael Keaton,4
192,Morgan Freeman,12
10215,Paul McCartney,51
230194,Abraham Laboriel Jr.,11
230195,Brian Ray,9
190,Clint Eastwood,17
489,Kathleen Kennedy,3
2231,Samuel L. Jackson,28
1,George Lucas,18
6159,Ron Howard,7
12951,O.J. Simpson,3
2998183,Nicole Brown Simpson,1
1231277,Marcia Clark,2
92912,Dave Gant,1
92913,Steve McClure,1
880,Ben Affleck,6
237405,Lady Gaga,21
17604,Jeremy Renner,6
418,Robert Patrick,6
138986,Tony Bennett,10
13611,Jack White,10
10750,Sheryl Crow,14
8261,Willie Nelson,23
974169,Jenna Ortega,3
1098962,Dove Cameron,5
1331457,Sofia Carson,5
41779,Monica Vitti,3
38898,Jean-Luc Bideau,2
225921,Enrica Antonioni,1
235564,Lello Bersani,2
174982,Neil Pearson,5
40092,Twiggy,6
1708627,Christine Keeler,1
39104,Abel Ferrara,2
1480608,Stuart Alson,1
1223677,Anthony Bourdain,1
1357,Christopher Doyle,2
14999,George A. Romero,8
100507,Christine Forrest,2
15072,Gaylen Ross,1
1259,Ennio Morricone,6
1002674,Silvano Agosti,3
30657,Alessandro Alessandroni,1
87680,Michele Soavi,2
101130,Barbara Cupisti,2
34546,Mark Gatiss,20
2183911,Annette Chaton,1
5402,Giulietta Masina,3
5683,Sandra Milo,5
4959,Claudia Cardinale,13
113,Christopher Lee,19
15175,William Friedkin,7
3027,Stephen King,7
131120,Henry Strozier,2
17622,Jean-François Rauger,1
2298985,Frédéric Bonnaud,2
105685,Giovanna Mezzogiorno,1
32055,Piero Tosi,2
13333,Vanessa Redgrave,7
84534,Dido,2
9315,Marilyn Manson,6
323,Curtis Hanson,6
339,Brian Grazer,2
1029110,Barry Sanders,1
8447,Jeff Daniels,5
62640,Paul Rosenberg,1
62644,50 Cent,3
154782,Pat Benatar,1
154783,Neil Giraldo,1
174875,Carly Simon,4
544016,D12,2
1776464,Stretch Armstrong,1
4244,Lauryn Hill,3
4238,Common,9
1740159,Marky Bass,1
1740160,Jeff Bass,1
1945289,Denaun Porter,2
1549410,Dead Prez,1
214586,Melle Mel,2
1135272,Skylar Grey,3
1233161,Mark Holden,1
2041,Dr. Dre,5
37934,André 3000,4
15310,Anthony Kiedis,14
12207,Kylie Minogue,19
337,Proof,1
2689367,Swifty McVay,1
4980414,Hailie Jade Mathers,1
1777399,Seán McLoughlin,1
1470131,Brent Lilley,1
3447977,Justin Tracey,1
22297,Kyle Gass,7
83768,Yuko Miyamura,7
31,Tom Hanks,16
1206,Jason Alexander,7
533061,Dave Grohl,34
229077,Eric Koston,7
584562,Guy Mariano,7
1125891,Mike Carroll,4
7395,Bobby Farrelly,4
7396,Peter Farrelly,5
78837,Brooke Burns,1
12052,Gwyneth Paltrow,8
154697,Kirk Ward,3
11863,Sarah Michelle Gellar,2
2219,Tobey Maguire,2
38225,Cher,8
84933,Mary J. Blige,9
66070,Dave Matthews,11
21397,Dennis Rodman,6
3981237,Shirley Rodman,1
27319,Christoph Waltz,9
6193,Leonardo DiCaprio,13
9309,Richard Pryor,7
57551,Mario Cantone,2
5726,Cedric the Entertainer,8
8851,Whitney Houston,14
979952,Clive Davis,3
32715,Diana Ross,12
